image,width_px,height_px,latency_ms,detections,classes_found
P0006.png,1054,1529,46.35,157,"{'large-vehicle': 152, 'small-vehicle': 5}"
P0009.png,1539,2319,120.58,145,"{'large-vehicle': 117, 'small-vehicle': 28}"
P0014.png,1179,967,86.95,56,"{'large-vehicle': 44, 'small-vehicle': 12}"
P0015.png,1616,1565,105.35,125,"{'large-vehicle': 73, 'small-vehicle': 52}"
P0016.png,873,1434,86.49,67,{'large-vehicle': 67}
P0017.png,2421,5353,283.61,167,"{'plane': 49, 'small-vehicle': 118}"
P0024.png,2319,3369,138.87,300,"{'plane': 34, 'small-vehicle': 266}"
P0026.png,3195,4348,268.39,212,"{'harbor': 26, 'swimming-pool': 3, 'small-vehicle': 176, 'ship': 7}"
P0028.png,3819,2547,227.67,128,"{'harbor': 34, 'ship': 20, 'small-vehicle': 72, 'swimming-pool': 2}"
P0031.png,5343,3795,471.04,300,"{'ship': 295, 'swimming-pool': 2, 'small-vehicle': 3}"
P0033.png,2916,1973,132.18,14,{'plane': 14}
P0034.png,3626,2542,142.47,30,{'plane': 30}
P0035.png,1597,1208,113.41,25,"{'plane': 13, 'large-vehicle': 6, 'small-vehicle': 6}"
P0037.png,3599,3656,178.16,28,"{'plane': 17, 'large-vehicle': 10, 'small-vehicle': 1}"
P0040.png,2067,4761,213.73,44,"{'plane': 37, 'small-vehicle': 7}"
P0043.png,3273,4901,262.12,99,"{'plane': 63, 'roundabout': 1, 'small-vehicle': 35}"
P0045.png,2075,2806,134.07,141,"{'tennis-court': 9, 'baseball-diamond': 5, 'small-vehicle': 127}"
P0046.png,1596,2487,144.76,189,"{'ground-track-field': 1, 'baseball-diamond': 5, 'small-vehicle': 181, 'tennis-court': 2}"
P0048.png,1860,2272,163.92,97,"{'tennis-court': 22, 'baseball-diamond': 3, 'small-vehicle': 72}"
P0051.png,4672,5430,510.18,197,"{'baseball-diamond': 12, 'tennis-court': 32, 'small-vehicle': 152, 'basketball-court': 1}"
P0055.png,1695,1782,198.61,128,"{'large-vehicle': 88, 'small-vehicle': 40}"
P0057.png,2691,2432,165.39,190,"{'large-vehicle': 105, 'small-vehicle': 85}"
P0059.png,3668,3348,263.73,272,"{'swimming-pool': 156, 'small-vehicle': 115, 'bridge': 1}"
P0062.png,1431,1995,151.2,300,"{'swimming-pool': 109, 'small-vehicle': 191}"
P0069.png,680,1136,100.12,1,{'roundabout': 1}
P0072.png,948,934,91.52,3,"{'roundabout': 1, 'small-vehicle': 2}"
P0073.png,693,890,76.73,1,{'roundabout': 1}
P0077.png,462,593,24.48,2,"{'roundabout': 1, 'small-vehicle': 1}"
P0080.png,693,890,30.05,1,{'roundabout': 1}
P0084.png,2385,2206,100.93,40,"{'roundabout': 2, 'large-vehicle': 4, 'small-vehicle': 34}"
